Serie,Data,Projecao,IC_inferior,IC_superior
Mulheres PSR,2027-08-01,20.770859548099594,17.571695073543566,23.970024022655622
Mulheres PSR,2027-09-01,20.938465810019952,17.674170474134684,24.20276114590522
Mulheres PSR,2027-10-01,21.08049534015007,17.725492411145318,24.43549826915482
Mulheres PSR,2027-11-01,21.236296956628777,17.804358520853132,24.66823539240442
Mulheres PSR,2027-12-01,21.390131132200544,17.87928974874707,24.90097251565402
Mulheres PSR,2028-01-01,21.54115217508711,17.9485947112706,25.133709638903618
Mulheres PSR,2028-02-01,21.696058753641402,18.025670745129588,25.366446762153217
Mulheres PSR,2028-03-01,21.854692624968656,18.1102013645345,25.599183885402816
Mulheres PSR,2028-04-01,22.00556130301891,18.179201597385408,25.831921008652415
Mulheres PSR,2028-05-01,22.158604235186722,18.252550338471433,26.064658131902014
Mulheres PSR,2028-06-01,22.311647167354536,18.32589907955746,26.297395255151613
Mulheres PSR,2028-07-01,22.467174961370993,18.40421754434077,26.530132378401213
Mulheres PSR,2028-08-01,22.619907285807724,18.476945069964636,26.762869501650812
Mulheres PSR,2028-09-01,22.771397179320136,18.54718773373986,26.99560662490041
Mulheres PSR,2028-10-01,22.92692497333659,18.62550619852317,27.22834374815001
Mulheres PSR,2028-11-01,23.080278513235484,18.69947615507136,27.46108087139961
Mulheres PSR,2028-12-01,23.233942660865456,18.774067327081703,27.69381799464921
>=45 anos PSR,2025-01-01,16.039730832439428,13.998738388542987,18.080723276335867
>=45 anos PSR,2025-02-01,13.568574672297732,12.843705051932853,14.29344429266261
>=45 anos PSR,2025-03-01,15.955386710118084,14.588150196782232,17.322623223453935
>=45 anos PSR,2025-04-01,14.350800198688034,13.818744296474215,14.882856100901854
>=45 anos PSR,2025-05-01,16.02562222386419,15.177562005021475,16.873682442706908
>=45 anos PSR,2025-06-01,15.006020172550818,14.539772435960538,15.472267909141097
>=45 anos PSR,2025-07-01,16.200207901598144,15.76697381326072,16.63344198993557
>=45 anos PSR,2025-08-01,15.575504078126894,15.089328438873446,16.061679717380343
>=45 anos PSR,2025-09-01,16.44523595454599,16.356385621499964,16.534086287592014
>=45 anos PSR,2025-10-01,16.087111195964333,15.523130866309085,16.651091525619584
>=45 anos PSR,2025-11-01,16.73781667091229,16.529835912085375,16.94579742973921
>=45 anos PSR,2025-12-01,16.559648146182926,15.878792958507026,17.24050333385883
>=45 anos PSR,2026-01-01,17.0624981759207,16.58978711386295,17.535209237978453
>=45 anos PSR,2026-02-01,17.005810481337214,16.181705820576354,17.829915142098073
>=45 anos PSR,2026-03-01,17.408849563483894,16.69307808075009,18.124621046217698
>=45 anos PSR,2026-04-01,17.434168431146226,16.449009911955137,18.419326950337318
>=45 anos PSR,2026-05-01,17.769829370777625,16.82562588709831,18.71403285445694
>=45 anos PSR,2026-06-01,17.85050739464018,16.692276030703795,19.008738758576563
>=45 anos PSR,2026-07-01,18.140684204540555,16.97792374638493,19.303444662696183
>=45 anos PSR,2026-08-01,18.25873284962259,16.91931513242937,19.598150566815807
>=45 anos PSR,2026-09-01,18.518205250345773,17.14355402975612,19.892856470935428
>=45 anos PSR,2026-10-01,18.66148121871429,17.135400062373527,20.18756237505505
>=45 anos PSR,2026-11-01,18.90022637350586,17.318184467837042,20.482268279174672
>=45 anos PSR,2026-12-01,19.060532239142148,17.34409029499,20.776974183294293
>=45 anos PSR,2027-01-01,19.28528530825539,17.498890529096858,21.071680087413917
>=45 anos PSR,2027-02-01,19.457087336114576,17.547788680695618,21.366385991533537
>=45 anos PSR,2027-03-01,19.67239494092081,17.683697986188456,21.66109189565316
>=45 anos PSR,2027-04-01,19.851957540894862,17.748117282016942,21.955797799772782
>=45 anos PSR,2027-05-01,20.060888912877335,17.871274121862264,22.250503703892406
>=45 anos PSR,2027-06-01,20.245690346331834,17.946171084651642,22.545209608012026
>=45 anos PSR,2027-07-01,20.45031739364574,18.060719275159826,22.83991551213165
>=45 anos PSR,2027-08-01,20.63865534165479,18.142689267058305,23.13462141625127
>=45 anos PSR,2027-09-01,20.840376721725264,18.251426123079632,23.42932732037089
>=45 anos PSR,2027-10-01,21.03110202089583,18.338170817301148,23.724033224490515
>=45 anos PSR,2027-11-01,21.230861908100493,18.44298468759085,24.018739128610136
>=45 anos PSR,2027-12-01,21.423198806906946,18.532952581084132,24.31344503272976
>=45 anos PSR,2028-01-01,21.621634573370898,18.635118209892415,24.60815093684938
>=45 anos PSR,2028-02-01,21.815059394820754,18.727261948672503,24.902856840969005
>=45 anos PSR,2028-03-01,22.012601303465217,18.82763986184181,25.197562745088625
>=45 anos PSR,2028-04-01,22.206760535404925,18.9212524216016,25.49226864920825
>=45 anos PSR,2028-05-01,22.403699038501166,19.02042352367446,25.78697455332787
>=45 anos PSR,2028-06-01,22.598354039851383,19.115027622255276,26.08168045744749
>=45 anos PSR,2028-07-01,22.794885209423555,19.21338405728,26.376386361567114
>=45 anos PSR,2028-08-01,22.989874883700967,19.3086575017152,26.671092265686735
>=45 anos PSR,2028-09-01,23.186131079666556,19.406463989526753,26.96579816980636
>=45 anos PSR,2028-10-01,23.38134667745966,19.50218928099334,27.26050407392598
>=45 anos PSR,2028-11-01,23.577417250391907,19.59962452273821,27.555209978045603
>=45 anos PSR,2028-12-01,23.772785359579856,19.695654836994485,27.849915882165224
PSR - Salvador,2025-01-01,5.3015408330530835,4.129263867611369,6.473817798494798
PSR - Salvador,2025-02-01,5.2964126968213945,4.051127370178814,6.541698023463975
PSR - Salvador,2025-03-01,5.39068764314123,4.171797037849308,6.609578248433151
PSR - Salvador,2025-04-01,5.947896861524546,5.218335249646763,6.677458473402328
PSR - Salvador,2025-05-01,5.7893008039746,4.8332629095776944,6.745338698371505
PSR - Salvador,2025-06-01,6.429039794886597,6.0448606664325135,6.813218923340681
PSR - Salvador,2025-07-01,5.359789190140261,3.8384792319706635,6.8810991483098585
PSR - Salvador,2025-08-01,5.523022986240549,4.097066599202063,6.948979373279035
PSR - Salvador,2025-09-01,6.094929960906635,5.1730003235650575,7.016859598248211
PSR - Salvador,2025-10-01,6.235411381033764,5.386082938850138,7.084739823217388
PSR - Salvador,2025-11-01,5.985791003672041,4.818961959157518,7.152620048186565
PSR - Salvador,2025-12-01,6.445508155931313,5.670516038706886,7.220500273155741
PSR - Salvador,2026-01-01,6.700344456492518,6.1123084148601174,7.288380498124918
PSR - Salvador,2026-02-01,6.591353499920415,5.8264462767467355,7.356260723094095
PSR - Salvador,2026-03-01,6.60597227770492,5.787803607346569,7.424140948063271
PSR - Salvador,2026-04-01,6.4342834402790245,5.3765457075256,7.492021173032448
PSR - Salvador,2026-05-01,6.524427842288645,5.488954286575665,7.5599013980016245
PSR - Salvador,2026-06-01,6.257935001815637,4.888088380660474,7.627781622970801
PSR - Salvador,2026-07-01,7.02881769831226,6.36197354868454,7.695661847939978
PSR - Salvador,2026-08-01,6.920596677618343,6.0776512823275315,7.763542072909154
PSR - Salvador,2026-09-01,6.500657082065009,5.169891866251686,7.831422297878332
PSR - Salvador,2026-10-01,6.368097965466793,4.8368934080860795,7.899302522847508
PSR - Salvador,2026-11-01,6.667180224651531,5.367177701486378,7.967182747816684
PSR - Salvador,2026-12-01,6.373153795233982,4.711244617682104,8.03506297278586
PSR - Salvador,2027-01-01,6.6995319641211735,5.29612073048731,8.102943197755037
PSR - Salvador,2027-02-01,6.7334720766057625,5.29612073048731,8.170823422724215
PSR - Salvador,2027-03-01,6.767412189090351,5.29612073048731,8.238703647693391
PSR - Salvador,2027-04-01,6.801352301574939,5.29612073048731,8.306583872662568
PSR - Salvador,2027-05-01,6.835292414059527,5.29612073048731,8.374464097631744
PSR - Salvador,2027-06-01,6.869232526544115,5.29612073048731,8.44234432260092
PSR - Salvador,2027-07-01,6.903172639028704,5.29612073048731,8.510224547570099
PSR - Salvador,2027-08-01,6.937112751513292,5.29612073048731,8.578104772539275
PSR - Salvador,2027-09-01,6.971052863997881,5.29612073048731,8.645984997508451
PSR - Salvador,2027-10-01,7.004992976482469,5.29612073048731,8.713865222477628
PSR - Salvador,2027-11-01,7.038933088967057,5.29612073048731,8.781745447446804
PSR - Salvador,2027-12-01,7.072873201451645,5.29612073048731,8.84962567241598
PSR - Salvador,2028-01-01,7.106813313936234,5.29612073048731,8.917505897385158
PSR - Salvador,2028-02-01,7.140753426420822,5.29612073048731,8.985386122354335
PSR - Salvador,2028-03-01,7.1746935389054105,5.29612073048731,9.053266347323511
PSR - Salvador,2028-04-01,7.208633651389999,5.29612073048731,9.121146572292687
PSR - Salvador,2028-05-01,7.242573763874587,5.29612073048731,9.189026797261864
PSR - Salvador,2028-06-01,7.276513876359176,5.29612073048731,9.256907022231042
PSR - Salvador,2028-07-01,7.310453988843764,5.29612073048731,9.324787247200218
PSR - Salvador,2028-08-01,7.344394101328352,5.29612073048731,9.392667472169395
PSR - Salvador,2028-09-01,7.37833421381294,5.29612073048731,9.460547697138571
PSR - Salvador,2028-10-01,7.412274326297529,5.29612073048731,9.528427922107747
PSR - Salvador,2028-11-01,7.446214438782117,5.29612073048731,9.596308147076924
PSR - Salvador,2028-12-01,7.480154551266706,5.29612073048731,9.664188372046102
PSR - Rio de Janeiro,2025-01-01,13.935439624595332,13.820177980726323,14.05070126846434
PSR - Rio de Janeiro,2025-02-01,13.969443056858436,13.812942655032197,14.125943458684675
PSR - Rio de Janeiro,2025-03-01,14.004170012947876,13.80715437699074,14.201185648905012
PSR - Rio de Janeiro,2025-04-01,14.039475789846978,13.802523740568606,14.276427839125349
PSR - Rio de Janeiro,2025-05-01,14.075244624792687,13.79881922023969,14.351670029345684
PSR - Rio de Janeiro,2025-06-01,14.11138390729479,13.795855595023562,14.42691221956602
PSR - Rio de Janeiro,2025-07-01,14.1478195487373,13.793484687688244,14.502154409786355
PSR - Rio de Janeiro,2025-08-01,14.184492278048365,13.791587956090039,14.577396600006692
PSR - Rio de Janeiro,2025-09-01,14.221354678227264,13.790070566227499,14.652638790227028
PSR - Rio de Janeiro,2025-10-01,14.258368815558821,13.788856650670278,14.727880980447363
PSR - Rio de Janeiro,2025-11-01,14.29550434297922,13.78788551529074,14.8031231706677
PSR - Rio de Janeiro,2025-12-01,14.332736982764063,13.78710860464009,14.878365360888035
PSR - Rio de Janeiro,2026-01-01,14.370047312675162,13.786487074241954,14.953607551108371
PSR - Rio de Janeiro,2026-02-01,14.407419794875027,13.785989848421346,15.028849741328708
PSR - Rio de Janeiro,2026-03-01,14.44484199905611,13.785592066563176,15.104091931549043
PSR - Rio de Janeiro,2026-04-01,14.482303980942334,13.78527384011529,15.17933412176938
PSR - Rio de Janeiro,2026-05-01,14.519797785088807,13.7850192581879,15.254576311989714
PSR - Rio de Janeiro,2026-06-01,14.557317047120385,13.78481559203072,15.32981850221005
PSR - Rio de Janeiro,2026-07-01,14.594856675521575,13.784652658612762,15.405060692430387
PSR - Rio de Janeiro,2026-08-01,14.63241259706767,13.78452231148462,15.480302882650722
PSR - Rio de Janeiro,2026-09-01,14.669981553169073,13.784418033467087,15.555545072871059
PSR - Rio de Janeiro,2026-10-01,14.70756093694622,13.784334610801046,15.630787263091394
PSR - Rio de Janeiro,2026-11-01,14.745148662889164,13.784267872466598,15.70602945331173
PSR - Rio de Janeiro,2026-12-01,14.782743062584908,13.784214481637749,15.781271643532067
PSR - Rio de Janeiro,2027-01-01,14.820342801299018,13.784171768845635,15.856513833752402
PSR - Rio de Janeiro,2027-02-01,14.857946811240726,13.784137598508716,15.931756023972738
PSR - Rio de Janeiro,2027-03-01,14.895554238174839,13.7841102621566,16.006998214193075
PSR - Rio de Janeiro,2027-04-01,14.933164398711126,13.78408839300884,16.08224040441341
PSR - Rio de Janeiro,2027-05-01,14.970776746135762,13.78407089763778,16.157482594633745
PSR - Rio de Janeiro,2027-06-01,15.008390843076366,13.784056901298651,16.23272478485408
PSR - Rio de Janeiro,2027-07-01,15.04600633963397,13.78404570419352,16.307966975074418
PSR - Rio de Janeiro,2027-08-01,15.083622955888554,13.784036746482355,16.38320916529475
PSR - Rio de Janeiro,2027-09-01,15.12124046790343,13.784029580291774,16.458451355515088
PSR - Rio de Janeiro,2027-10-01,15.158858696528707,13.78402384732199,16.533693545735424
PSR - Rio de Janeiro,2027-11-01,15.196477498444034,13.784019260932308,16.60893573595576
PSR - Rio de Janeiro,2027-12-01,15.234096758992788,13.784015591809478,16.684177926176098
PSR - Rio de Janeiro,2028-01-01,15.271716386449391,13.784012656502346,16.759420116396434
PSR - Rio de Janeiro,2028-02-01,15.30933630743316,13.784010308249547,16.83466230661677
PSR - Rio de Janeiro,2028-03-01,15.34695646323937,13.784008429641633,16.909904496837104
PSR - Rio de Janeiro,2028-04-01,15.3845768069041,13.784006926750761,16.98514668705744
PSR - Rio de Janeiro,2028-05-01,15.422197300856105,13.784005724434431,17.060388877277777
PSR - Rio de Janeiro,2028-06-01,15.459817915038286,13.784004762578462,17.13563106749811
PSR - Rio de Janeiro,2028-07-01,15.497438625404904,13.784003993091362,17.210873257718447
PSR - Rio de Janeiro,2028-08-01,15.535059412719303,13.784003377499822,17.286115447938784
PSR - Rio de Janeiro,2028-09-01,15.572680261592112,13.784002885025103,17.36135763815912
PSR - Rio de Janeiro,2028-10-01,15.610301159711796,13.784002491044136,17.436599828379457
PSR - Rio de Janeiro,2028-11-01,15.647922097229102,13.784002175858411,17.511842018599793
PSR - Rio de Janeiro,2028-12-01,15.6855430662646,13.78400192370907,17.58708420882013
PSR - Porto Alegre,2025-01-01,21.25629751383358,21.127264030425827,21.385330997241333
PSR - Porto Alegre,2025-02-01,21.378093555160433,21.205730744737746,21.55045636558312
PSR - Porto Alegre,2025-03-01,21.499889596487286,21.284197459049665,21.715581733924907
PSR - Porto Alegre,2025-04-01,21.62168563781414,21.36266417336158,21.880707102266694
PSR - Porto Alegre,2025-05-01,21.743481679140988,21.441130887673495,22.04583247060848
PSR - Porto Alegre,2025-06-01,21.86527772046784,21.519597601985414,22.210957838950268
PSR - Porto Alegre,2025-07-01,21.987073761794694,21.598064316297332,22.376083207292055
PSR - Porto Alegre,2025-08-01,22.108869803121543,21.676531030609247,22.541208575633842
PSR - Porto Alegre,2025-09-01,22.230665844448396,21.754997744921162,22.70633394397563
PSR - Porto Alegre,2025-10-01,22.35246188577525,21.83346445923308,22.871459312317416
PSR - Porto Alegre,2025-11-01,22.4742579271021,21.911931173545,23.036584680659203
PSR - Porto Alegre,2025-12-01,22.596053968428954,21.990397887856915,23.20171004900099
PSR - Porto Alegre,2026-01-01,22.717850009755804,22.06886460216883,23.366835417342777
PSR - Porto Alegre,2026-02-01,22.839646051082656,22.14733131648075,23.531960785684564
PSR - Porto Alegre,2026-03-01,22.96144209240951,22.225798030792667,23.69708615402635
PSR - Porto Alegre,2026-04-01,23.08323813373636,22.304264745104582,23.86221152236814
PSR - Porto Alegre,2026-05-01,23.20503417506321,22.382731459416497,24.027336890709925
PSR - Porto Alegre,2026-06-01,23.326830216390064,22.46119817372842,24.192462259051712
PSR - Porto Alegre,2026-07-01,23.448626257716917,22.539664888040335,24.3575876273935
PSR - Porto Alegre,2026-08-01,23.57042229904377,22.61813160235225,24.522712995735287
PSR - Porto Alegre,2026-09-01,23.692218340370623,22.69659831666417,24.687838364077074
